MAE,RMSE,MAPE,Bias,cohort,model,horizon
2139.7603703703703,2585.5763170075584,22.937158101429585,-1873.6687654320986,hotday_all,Operator(op_24h_latest),5
2236.9462962962966,2702.2271303174084,23.85591454101891,-2034.1608641975313,hotday_all,Operator(op_24h_latest),6
2297.5596296296294,2772.727138124593,24.432293523669905,-2131.348765432099,hotday_all,Operator(op_24h_latest),7
2320.0365432098765,2791.5041907226687,24.637151624439056,-2165.262469135803,hotday_all,Operator(op_24h_latest),8
2307.546296296296,2771.61923962474,24.48756417422103,-2151.7897530864193,hotday_all,Operator(op_24h_latest),9
2240.4966666666664,2688.3603469467785,23.805075095420687,-2052.666790123457,hotday_all,Operator(op_24h_latest),10
2141.83012345679,2573.3102507609933,22.793056195715966,-1909.9266666666667,hotday_all,Operator(op_24h_latest),11
1967.8751851851853,2369.6073883180743,21.079667897257316,-1636.388024691358,hotday_all,Operator(op_24h_latest),12
1788.8954320987655,2190.548924809476,19.252924508059543,-1378.476172839506,hotday_all,Operator(op_24h_latest),13
1629.873950617284,2025.8673808668952,17.67662768578305,-1110.4462962962962,hotday_all,Operator(op_24h_latest),14
1538.8274074074072,1906.0025593216656,16.885224629547366,-880.3153086419752,hotday_all,Operator(op_24h_latest),15
1508.2796296296297,1855.9186098250811,16.696948030263215,-742.484074074074,hotday_all,Operator(op_24h_latest),16
1486.938024691358,1821.3676440392499,16.591085196351745,-641.2817283950617,hotday_all,Operator(op_24h_latest),17
1438.7662962962966,1768.7320849459604,16.22714619348933,-521.0374074074075,hotday_all,Operator(op_24h_latest),18
1407.0623456790124,1735.0510968371516,16.031189596220244,-431.5539506172839,hotday_all,Operator(op_24h_latest),19
1377.1638271604938,1702.6149520478893,15.89217802344882,-312.9635802469135,hotday_all,Operator(op_24h_latest),20
1347.8825925925926,1669.7374954073277,15.804284383490828,-181.00259259259258,hotday_all,Operator(op_24h_latest),21
1313.472222222222,1643.7127850928755,15.700303720172984,-18.85296296296293,hotday_all,Operator(op_24h_latest),22
1305.711234567901,1632.294071531472,15.901946284153354,149.94061728395064,hotday_all,Operator(op_24h_latest),23
1305.2748148148148,1626.574881067121,16.180458888798587,313.4202469135803,hotday_all,Operator(op_24h_latest),24
1329.154320987654,1654.9348519988614,16.745026326226853,513.1565432098765,hotday_all,Operator(op_24h_latest),25
1366.4180246913581,1698.0079510232783,17.444366473306303,716.0953086419753,hotday_all,Operator(op_24h_latest),26
1455.936913580247,1769.439707261407,18.767198495507692,937.6729629629631,hotday_all,Operator(op_24h_latest),27
1539.6656790123457,1857.1176540316583,20.055534227447282,1154.7274074074073,hotday_all,Operator(op_24h_latest),28
1645.341111111111,1981.6098693941365,21.60382539625408,1372.4304938271603,hotday_all,Operator(op_24h_latest),29
1818.3172839506174,2147.530712766193,23.962251301768468,1609.2943209876546,hotday_all,Operator(op_24h_latest),30
2023.3050617283952,2355.89234853383,26.73561824664358,1866.1260493827162,hotday_all,Operator(op_24h_latest),31
2207.3517283950614,2553.928208335563,29.277241504834112,2090.076419753086,hotday_all,Operator(op_24h_latest),32
2384.433703703704,2742.4112454600836,31.757796891403984,2292.933703703704,hotday_all,Operator(op_24h_latest),33
2491.4571604938274,2884.204396590565,33.406121277371845,2424.7448148148146,hotday_all,Operator(op_24h_latest),34
2589.0225925925924,3010.900148286121,34.98382844328912,2536.8366666666666,hotday_all,Operator(op_24h_latest),35
2547.5944444444444,2994.457139188304,34.80328036502041,2490.3391358024687,hotday_all,Operator(op_24h_latest),36
2476.692222222222,2937.4673175270404,34.15073528462593,2404.2569135802464,hotday_all,Operator(op_24h_latest),37
2323.6858024691355,2790.8405167763076,32.35293450796399,2219.8406172839505,hotday_all,Operator(op_24h_latest),38
2198.611728395062,2632.9249643204753,30.734231992001526,2016.6707407407405,hotday_all,Operator(op_24h_latest),39
2121.216913580247,2517.328981946324,29.6142886420228,1839.7872839506176,hotday_all,Operator(op_24h_latest),40
2050.8471604938272,2398.2383487679526,28.517241782975933,1660.6506172839504,hotday_all,Operator(op_24h_latest),41
1959.680617283951,2251.8853477532834,27.0126803616166,1417.9976543209877,hotday_all,Operator(op_24h_latest),42
1840.1290123456793,2079.5799777082834,25.043295492476737,1120.4006172839506,hotday_all,Operator(op_24h_latest),43
1755.838395061728,1961.8699479968307,23.5919447117927,898.0897530864198,hotday_all,Operator(op_24h_latest),44
1653.8602469135806,1849.7905416106166,21.852309923585803,633.3358024691358,hotday_all,Operator(op_24h_latest),45
1586.5517283950617,1790.3372782219997,20.61597489411289,419.1855555555554,hotday_all,Operator(op_24h_latest),46
1508.378024691358,1737.6454937346386,19.149337944240163,170.00493827160497,hotday_all,Operator(op_24h_latest),47
1446.4304938271605,1719.5270620205392,17.883445677762666,-78.0714814814814,hotday_all,Operator(op_24h_latest),48
