"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",3,2010-03-06,48,0,0,20.6,28.4,6523.51,9859.15,8567.20708333333,411225.94,6446.55,9728.81,8515.63125,408750.3,87.5154166666667,101.963272901733,208.349999999999,NA,87.5154166666667,NA,NA,101.963272901733,NA
"2010",3,2010-03-07,47,0,0,21.2,26.9,6444.45,9182.18,8174.57829787234,384205.18,6444.85,9324.77,8176.59404255319,384299.92,116.371489361702,139.810277009406,280.029999999999,NA,116.371489361702,NA,NA,139.810277009406,NA
"2010",3,2010-03-08,46,0,0,20.9,30.1,6532.89,11054.9,9247.41239130435,425380.97,6462.23,11308.16,9235.49217391304,424832.64,107.990217391304,132.111600723223,310.08,NA,107.990217391304,NA,NA,132.111600723223,NA
"2010",3,2010-03-09,45,0,0,17.8,29.2,6424.26,10747.42,8921.60377777778,401472.17,6532.3,10741.67,9048.09911111111,407164.46,143.032666666667,167.324707845421,395.800000000001,NA,143.032666666667,NA,NA,167.324707845421,NA
"2010",3,2010-03-10,47,0,0,18.5,20.8,6547.42,9913.53,8628.28212765958,405529.26,6561.07,9946.23,8669.60659574468,407471.51,88.2670212765957,118.279513711504,329.719999999999,NA,88.2670212765957,NA,NA,118.279513711504,NA
"2010",3,2010-03-11,46,0,0,17.5,22.4,6349.59,9612.66,8481.91956521739,390168.3,6453.63,9730.29,8557.03826086957,393623.76,84.9413043478261,95.5478104542888,228.49,NA,84.9413043478261,NA,NA,95.5478104542888,NA
"2010",3,2010-03-12,48,0,0,18.1,22.7,6171.75,9735.27,8461.10854166667,406133.21,6337.4,9698.16,8482.58604166667,407164.13,66.3608333333333,84.3554244946148,238.68,NA,66.3608333333333,NA,NA,84.3554244946148,NA
"2010",3,2010-03-13,48,0,0,14.4,23.2,6270.85,8823.41,7794.21145833333,374122.15,6314.53,8864.23,7837.00708333333,376176.34,56.6089583333334,71.103076102585,197.07,NA,56.6089583333334,NA,NA,71.103076102585,NA
"2010",3,2010-03-14,47,0,0,14.9,23.2,6071.81,8559.36,7620.48361702128,358162.73,5984.05,8406.47,7607.17340425532,357537.15,86.7604255319149,109.142020790013,313.78,NA,86.7604255319149,NA,NA,109.142020790013,NA
"2010",3,2010-03-15,48,0,0,15.5,25.8,6254.17,10098.36,8695.831875,417399.93,6376.55,10100.14,8714.0525,418274.52,86.953125,102.52251233469,268.51,NA,86.953125,NA,NA,102.52251233469,NA
"2010",3,2010-03-16,47,0,0,13.9,27.4,6434.78,10262.78,8885.30212765957,417609.2,6415.29,10283.87,8921.55212765957,419312.95,54.9742553191488,71.4134097455747,193.01,NA,54.9742553191488,NA,NA,71.4134097455747,NA
"2010",3,2010-03-17,48,0,0,12.2,26.9,6458.67,10325.68,8877.131875,426102.33,6428.29,10263.73,8894.413125,426931.83,52.4308333333333,64.6795961838044,171.17,NA,52.4308333333333,NA,NA,64.6795961838044,NA
