"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time"
2010-09-09,53,6.2,"9/9/2010 4:30",18.4,"9/9/2010 13:00"
2010-09-10,46,9.4,"10/9/2010 3:00",22.6,"10/9/2010 14:00"
2010-09-11,48,6.1,"11/9/2010 6:00",18.8,"11/9/2010 12:00"
2010-09-12,50,5.4,"12/9/2010 6:30",19.7,"12/9/2010 13:00"
2010-09-13,48,11.5,"13/9/2010 1:00",23.3,"13/9/2010 14:30"
2010-09-14,55,10.5,"14/9/2010 3:00",17.6,"14/9/2010 8:30"
2010-09-15,51,10.9,"15/9/2010 4:00",21.8,"15/9/2010 15:30"
2010-09-16,52,8.2,"16/9/2010 6:00",20.9,"16/9/2010 15:00"
2010-09-17,48,7.8,"17/9/2010 6:00",19.4,"17/9/2010 15:30"
2010-09-18,48,4.9,"18/9/2010 6:00",21.8,"18/9/2010 14:00"
2010-09-19,52,7.5,"19/9/2010 3:30",18.2,"19/9/2010 12:30"
2010-09-20,53,8.7,"20/9/2010 3:30",19.3,"20/9/2010 12:30"
2010-09-21,58,8.7,"21/9/2010 4:00",22.4,"21/9/2010 12:00"
2010-09-22,54,12.6,"22/9/2010 6:00",20.6,"22/9/2010 13:00"
2010-09-23,48,12.6,"23/9/2010 23:00",18.2,"23/9/2010 11:00"
2010-09-24,55,9.7,"24/9/2010 5:55",23.4,"24/9/2010 14:30"
2010-09-25,49,10,"25/9/2010 6:00",25.5,"25/9/2010 14:00"
2010-09-26,48,8.1,"26/9/2010 5:30",23.7,"26/9/2010 13:00"
2010-09-27,49,9.4,"27/9/2010 4:00",27,"27/9/2010 16:00"
2010-09-28,48,8.2,"28/9/2010 5:30",25.6,"28/9/2010 13:30"
2010-09-29,52,9.3,"29/9/2010 22:30",16.5,"29/9/2010 10:00"
2010-09-30,48,5.1,"30/9/2010 4:30",17.6,"30/9/2010 13:00"
2010-10-01,48,6.2,"1/10/2010 4:00",18,"1/10/2010 14:30"
2010-10-02,58,12.1,"2/10/2010 5:30",19.4,"2/10/2010 11:30"
2010-10-03,71,14.1,"3/10/2010 0:13",19.4,"3/10/2010 13:00"
2010-10-04,63,14.5,"4/10/2010 5:13",20.6,"4/10/2010 14:30"
2010-10-05,54,14.5,"5/10/2010 23:00",22.9,"5/10/2010 14:30"
2010-10-06,64,14.6,"6/10/2010 4:30",21.9,"6/10/2010 12:00"
2010-10-07,55,13.6,"7/10/2010 2:30",21.9,"7/10/2010 11:00"
2010-10-08,48,11.1,"8/10/2010 4:30",19.5,"8/10/2010 15:00"
2010-10-09,48,13.6,"9/10/2010 23:00",17.9,"9/10/2010 13:30"
2010-10-10,54,13.4,"10/10/2010 5:30",20.2,"10/10/2010 11:00"
2010-10-11,60,13.2,"11/10/2010 4:30",20.6,"11/10/2010 14:30"
2010-10-12,52,15.2,"12/10/2010 2:00",21.9,"12/10/2010 13:00"
2010-10-13,58,13.2,"13/10/2010 5:30",26.2,"13/10/2010 13:30"
2010-10-14,48,17.7,"14/10/2010 5:30",26.7,"14/10/2010 12:00"
2010-10-15,58,16.5,"15/10/2010 2:30",25.4,"15/10/2010 16:30"
2010-10-16,61,10.7,"16/10/2010 23:30",16.8,"16/10/2010 0:00"
2010-10-17,48,8.1,"17/10/2010 4:00",22.5,"17/10/2010 15:00"
2010-10-18,48,9.3,"18/10/2010 5:30",23.8,"18/10/2010 15:00"
2010-10-19,52,10.2,"19/10/2010 0:30",16.4,"19/10/2010 15:00"
2010-10-20,48,9.7,"20/10/2010 4:00",20.6,"20/10/2010 12:00"
2010-10-21,50,9.8,"21/10/2010 5:30",21.9,"21/10/2010 11:30"
2010-10-22,48,11.5,"22/10/2010 5:30",23.7,"22/10/2010 11:00"
2010-10-23,51,11.9,"23/10/2010 4:00",28,"23/10/2010 12:00"
2010-10-24,66,13,"24/10/2010 9:00",16.4,"23/10/2010 23:47"
2010-10-25,59,10.8,"25/10/2010 23:00",18.5,"25/10/2010 15:00"
2010-10-26,52,7.9,"26/10/2010 5:00",25,"26/10/2010 12:30"
2010-10-27,53,9.7,"27/10/2010 4:30",21.2,"27/10/2010 10:00"
2010-10-28,51,12.9,"28/10/2010 23:30",19.3,"28/10/2010 13:30"
2010-10-29,48,10.7,"29/10/2010 2:30",19.7,"29/10/2010 15:30"
2010-10-30,49,12.4,"30/10/2010 3:00",25.4,"30/10/2010 12:30"
2010-10-31,48,18.2,"31/10/2010 23:00",25.9,"31/10/2010 13:00"
2010-11-01,57,14.3,"1/11/2010 23:30",20,"1/11/2010 2:00"
2010-11-02,61,9.6,"2/11/2010 23:06",17.4,"2/11/2010 13:30"
2010-11-03,58,7.9,"3/11/2010 4:55",22.5,"3/11/2010 12:30"
2010-11-04,54,13.1,"4/11/2010 23:34",17.8,"4/11/2010 15:00"
2010-11-05,57,12.4,"5/11/2010 1:00",17,"5/11/2010 11:30"
2010-11-06,58,13.2,"6/11/2010 2:30",17,"6/11/2010 11:00"
2010-11-07,50,10.4,"7/11/2010 5:00",21.1,"7/11/2010 12:30"
2010-11-08,61,13,"8/11/2010 5:00",27.9,"8/11/2010 11:30"
2010-11-09,49,16.1,"9/11/2010 3:30",23,"9/11/2010 15:00"
2010-11-10,66,16.3,"10/11/2010 2:11",28,"10/11/2010 13:00"
2010-11-11,48,18.3,"11/11/2010 23:30",26.4,"11/11/2010 12:00"
2010-11-12,48,15.2,"12/11/2010 5:00",28.4,"12/11/2010 10:30"
